ticker,name,asset_type,category,sector,themes,recommendation_eligible,forecast_eligible,history_note
NVDA,NVIDIA Corporation,stock,AI chips and hardware,Information Technology,artificial_intelligence|semiconductors|gpu|data_centres,true,true,
AMD,"Advanced Micro Devices, Inc.",stock,AI chips and hardware,Information Technology,artificial_intelligence|semiconductors|cpu|gpu,true,true,
AVGO,Broadcom Inc.,stock,AI chips and hardware,Information Technology,artificial_intelligence|semiconductors|networking,true,true,
QCOM,Qualcomm Incorporated,stock,AI chips and hardware,Information Technology,semiconductors|edge_ai|wireless,true,true,
MU,"Micron Technology, Inc.",stock,AI chips and hardware,Information Technology,semiconductors|memory|data_centres,true,true,
TSM,Taiwan Semiconductor Manufacturing Company Limited,stock,AI chips and hardware,Information Technology,semiconductors|foundry|chip_manufacturing,true,true,US-listed ADR
AMAT,"Applied Materials, Inc.",stock,AI chips and hardware,Information Technology,semiconductors|chip_equipment|manufacturing,true,true,
ASML,ASML Holding N.V.,stock,AI chips and hardware,Information Technology,semiconductors|lithography|chip_equipment,true,true,US-listed ADR
MRVL,"Marvell Technology, Inc.",stock,AI chips and hardware,Information Technology,artificial_intelligence|semiconductors|data_centres|networking,true,true,
AAPL,Apple Inc.,stock,AI chips and hardware,Information Technology,consumer_technology|devices|edge_ai,true,true,
MSFT,Microsoft Corporation,stock,Software cloud and cybersecurity,Information Technology,enterprise_software|cloud_computing|generative_ai,true,true,
ORCL,Oracle Corporation,stock,Software cloud and cybersecurity,Information Technology,enterprise_software|cloud_computing|databases,true,true,
CRM,"Salesforce, Inc.",stock,Software cloud and cybersecurity,Information Technology,enterprise_software|cloud_computing|customer_relationship_management,true,true,
ADBE,Adobe Inc.,stock,Software cloud and cybersecurity,Information Technology,enterprise_software|creative_software|generative_ai,true,true,
NOW,"ServiceNow, Inc.",stock,Software cloud and cybersecurity,Information Technology,enterprise_software|cloud_computing|workflow_automation,true,true,
PLTR,Palantir Technologies Inc.,stock,Software cloud and cybersecurity,Information Technology,artificial_intelligence|data_analytics|government_technology,true,true,
CRWD,"CrowdStrike Holdings, Inc.",stock,Software cloud and cybersecurity,Information Technology,cybersecurity|cloud_computing|endpoint_security,true,true,
PANW,"Palo Alto Networks, Inc.",stock,Software cloud and cybersecurity,Information Technology,cybersecurity|network_security|cloud_security,true,true,
SNOW,Snowflake Inc.,stock,Software cloud and cybersecurity,Information Technology,cloud_computing|data_platform|analytics,true,true,
DDOG,"Datadog, Inc.",stock,Software cloud and cybersecurity,Information Technology,cloud_computing|observability|developer_tools,true,true,
FPS,"Forgent Power Solutions, Inc.",stock,AI power energy and grid,Industrials,ai_power_demand|data_centre_power|electrical_distribution|grid_infrastructure,true,false,Independent trading history begins in 2026
BE,Bloom Energy Corporation,stock,AI power energy and grid,Industrials,ai_power_demand|fuel_cells|distributed_power|data_centres,true,true,
CEG,Constellation Energy Corporation,stock,AI power energy and grid,Utilities,ai_power_demand|nuclear_energy|electricity_generation,true,false,Independent trading history begins in 2022
VST,Vistra Corp.,stock,AI power energy and grid,Utilities,ai_power_demand|electricity_generation|nuclear_energy,true,true,
